major_category,mid_category,unique_docs,total_assignments
"#디자인","북디자인",3,3
"#디자인","모바일디자인",2,2
"#디자인","배너디자인",4,4
"#디자인","광고디자인",8,8
"#디자인","시각디자인",16,16
"#디자인","디지털디자인",7,7
"#디자인","그래픽디자인",15,15
"#디자인","로고디자인",3,3
"#디자인","앱디자인",5,5
"#디자인","브랜드디자인",8,8
"#디자인","문구디자인",3,3
"#디자인","의상디자인",5,5
"#디자인","섬유디자인",3,3
"#디자인","잡화디자인",1,1
"#디자인","기타",9,9
"#디자인","공간디자인",2,2
"#디자인","건축디자인",1,1
"#디자인","산업디자인",7,7
"#디자인","편집디자인",5,5
"#디자인","가구디자인",1,1
"#디자인","웹디자인",9,9
"#디자인","컬러리스트",2,2
"#디자인","일러스트레이터",4,4
"#디자인","UI/UX디자인",10,10
"#디자인","표지디자인",1,1
"#디자인","캐릭터디자인",2,2
"#디자인","패턴디자인",2,2
"#디자인","콘텐츠디자인",4,4
"#디자인","패키지디자인",3,3
"#디자인","영상디자인",3,3
"#디자인","BX디자인",2,2
"#디자인","완구디자인",3,3
"#디자인","정보디자인",2,2
"#디자인","CI디자인",2,2
"#디자인","공예디자인",3,3
"#디자인","자동차디자인",1,1
"#디자인","VMD",2,2
"#디자인","전시디자인",1,1
"#디자인","BI디자인",1,1
"#디자인","AD(아트디렉터)",3,3
"#디자인","컨셉디자인",2,2
"#디자인","주얼리디자인",2,2
"#디자인","패브릭디자인",1,1
"#디자인","애니메이터",1,1
"#마케팅·홍보·조사","마케팅",171,171
"#마케팅·홍보·조사","마케팅기획",58,58
"#마케팅·홍보·조사","광고마케팅",21,21
"#마케팅·홍보·조사","홍보",135,135
"#마케팅·홍보·조사","AE(광고기획자)",10,10
"#마케팅·홍보·조사","미디어플래너",3,3
"#마케팅·홍보·조사","디지털마케팅",21,21
"#마케팅·홍보·조사","마케팅전략",42,42
"#마케팅·홍보·조사","기업홍보",19,19
"#마케팅·홍보·조사","행사기획",11,11
"#마케팅·홍보·조사","기타",7,7
"#마케팅·홍보·조사","콘텐츠마케팅",20,20
"#마케팅·홍보·조사","콘텐츠기획",28,28
"#마케팅·홍보·조사","글로벌마케팅",17,17
"#마케팅·홍보·조사","오프라인마케팅",7,7
"#마케팅·홍보·조사","온라인마케팅",22,22
"#마케팅·홍보·조사","바이럴마케팅",12,12
"#마케팅·홍보·조사","브랜드마케팅",19,19
"#마케팅·홍보·조사","AM(어카운트매니저)",3,3
"#마케팅·홍보·조사","제휴마케팅",3,3
"#마케팅·홍보·조사","모바일마케팅",4,4
"#마케팅·홍보·조사","인플루언서마케팅",12,12
"#마케팅·홍보·조사","콘텐츠에디터",10,10
"#마케팅·홍보·조사","프로덕트마케팅",2,2
"#마케팅·홍보·조사","CRM마케팅",2,2
"#마케팅·홍보·조사","퍼포먼스마케팅",6,6
"#마케팅·홍보·조사","광고PD",4,4
"#마케팅·홍보·조사","SNS마케팅",6,6
"#마케팅·홍보·조사","B2B마케팅",7,7
"#마케팅·홍보·조사","블로그마케팅",6,6
"#마케팅·홍보·조사","체험마케팅",1,1
"#마케팅·홍보·조사","BM(브랜드매니저)",2,2
"#마케팅·홍보·조사","AD(아트디렉터)",3,3
"#마케팅·홍보·조사","스포츠마케팅",1,1
"#마케팅·홍보·조사","CW(카피라이터)",2,2
"#마케팅·홍보·조사","비즈니스마케팅",1,1
"#미디어·문화·스포츠","AE(광고기획자)",10,10
"#미디어·문화·스포츠","기타",13,13
"#미디어·문화·스포츠","MC",12,12
"#미디어·문화·스포츠","컬러리스트",2,2
"#미디어·문화·스포츠","PD/AD/FD",8,8
"#미디어·문화·스포츠","인플루언서",12,12
"#미디어·문화·스포츠","기자",4,4
"#미디어·문화·스포츠","에디터",10,10
"#미디어·문화·스포츠","DJ",1,1
"#미디어·문화·스포츠","아나운서",1,1
"#미디어·문화·스포츠","영상디자이너",1,1
"#미디어·문화·스포츠","AD(아트디렉터)",3,3
"#미디어·문화·스포츠","크리에이터",1,1
"#미디어·문화·스포츠","CW(카피라이터)",2,2
"#미디어·문화·스포츠","큐레이터",2,2
"#미디어·문화·스포츠","작가",1,1
"#미디어·문화·스포츠","영화미술",1,1
"#미디어·문화·스포츠","통/번역",1,1
"#상품기획·md","영업MD",10,10
"#상품기획·md","기타",25,25
"#상품기획·md","온라인MD",11,11
"#상품기획·md","기획MD",19,19
"#상품기획·md","브랜드MD",7,7
"#상품기획·md","식품MD",2,2
"#상품기획·md","리테일MD",2,2
"#상품기획·md","AMD",7,7
"#상품기획·md","VMD",2,2
"#상품기획·md","오프라인MD",2,2
"#상품기획·md","패션MD",3,3
"#상품기획·md","유통MD",3,3
"#상품기획·md","바잉MD",1,1
"#생산","제조",44,44
"#생산","구조해석/설계",62,62
"#생산","플랜트설계",2,2
"#생산","설계엔지니어",25,25
"#생산","생산",272,272
"#생산","자동제어",10,10
"#생산","전기제어",12,12
"#생산","자동화설계",11,11
"#생산","생산관리",61,61
"#생산","공정관리",31,31
"#생산","기술엔지니어",33,33
"#생산","전자제어",8,8
"#생산","프로그램설계",2,2
"#생산","장비제어",4,4
"#생산","품질관리",68,68
"#생산","QC",27,27
"#생산","제품설계",15,15
"#생산","기계설계",34,34
"#생산","기구설계",18,18
"#생산","회로설계",14,14
"#생산","QA",28,28
"#생산","기술설계",18,18
"#생산","PSM",7,7
"#생산","전기설계",10,10
"#생산","공정설계",14,14
"#생산","부품설계",13,13
"#생산","생산설계",14,14
"#생산","생산기술",23,23
"#생산","계장설계",4,4
"#생산","금형설계",6,6
"#생산","기타",19,19
"#생산","반도체설계",4,4
"#생산","공정엔지니어",17,17
"#생산","시스템설계",5,5
"#생산","장비설계",2,2
"#생산","전장설계",5,5
"#생산","설비OP",3,3
"#생산","기계조작원",1,1
"#생산","제조가공",6,6
"#생산","조선설계",1,1
"#생산","외관검사원",1,1
"#생산","안전보건관리자",11,11
"#생산","펌프설계",2,2
"#생산","단순생산직",1,1
"#생산","용접원",1,1
