major_category,mid_category,size,representative_count,rec_ids
"#구매·자재·물류","구매기획",11,3,"50485422,50340685,50345685"
"#구매·자재·물류","물류기획",10,3,"50437789,50015734,50346709"
"#구매·자재·물류","SCM",10,3,"50499769,50335976,50485422"
"#구매·자재·물류","포워더",9,3,"50337003,50341453,50346709"
"#구매·자재·물류","유통관리",7,3,"50431954,50432661,50500550"
"#구매·자재·물류","기타",5,3,"50484257,50517349,50318919"
"#구매·자재·물류","창고관리",4,3,"50243101,50424918,50280849"
"#구매·자재·물류","물류사무원",3,3,"50015734,50342198,50411510"
"#구매·자재·물류","SRM",1,1,"50485422"
"#구매·자재·물류","보세사",1,1,"50494211"
"#금융·보험","기타",16,3,"50396932,50379567,50519603"
"#금융·보험","보험심사",2,2,"50166351,50436424"
"#금융·보험","손해사정사",2,2,"50166351,50436524"
"#금융·보험","금융사무",2,2,"50354476,50443752"
"#금융·보험","금융상품영업",2,2,"50458939,50458813"
"#금융·보험","펀드매니저",1,1,"50335979"
"#금융·보험","보험상품개발",1,1,"50436424"
"#금융·보험","텔러",1,1,"50443752"
"기타","기타",18,3,"50499322,50436112,50436234"
"#기획·전략","기획",428,3,"50055856,50052356,50040811"
"#기획·전략","사업기획",83,3,"50207951,50301656,50123158"
"#기획·전략","상품기획",65,3,"50101088,50291913,50319865"
"#기획·전략","마케팅기획",58,3,"50098069,50208674,50272598"
"#기획·전략","경영기획",54,3,"50321136,50193619,50052356"
"#기획·전략","전략기획",49,3,"50349648,50341783,50222762"
"#기획·전략","서비스기획",30,3,"50402493,50088339,50101088"
"#기획·전략","컨설턴트",27,3,"50243598,50196711,50235727"
"#기획·전략","인사기획",26,3,"50456546,50474343,50202078"
"#기획·전략","브랜드기획",19,3,"50472553,50101088,50424757"
"#기획·전략","기타",19,3,"50396198,50394357,50436465"
"#기획·전략","PM(프로젝트매니저)",17,3,"50402493,50195652,50143933"
"#기획·전략","광고기획",15,3,"50040811,50176202,50498368"
"#기획·전략","교육기획",15,3,"50145300,50018158,50138185"
"#기획·전략","행사기획",11,3,"50263007,50385798,50438363"
"#기획·전략","웹기획",9,3,"50402493,50088339,50496250"
"#기획·전략","PL(프로젝트리더)",7,3,"50402493,50195652,50088339"
"#기획·전략","기술기획",7,3,"50123158,50294225,50427006"
"#기획·전략","IT컨설팅",7,3,"50498765,50433790,50416124"
"#기획·전략","출판기획",6,3,"50410896,50318286,50055856"
"#기획·전략","앱기획",5,3,"50402493,50496250,50176202"
"#기획·전략","문화기획",5,3,"50521437,50442712,50432891"
"#기획·전략","PO(프로덕트오너)",2,2,"50402493,49421173"
"#기획·전략","PMO",2,2,"50402493,50195652"
"#기획·전략","COO",1,1,"50015734"
"#기획·전략","CEO",1,1,"50195652"
"#기획·전략","CSO",1,1,"50268370"
"#기획·전략","법인장",1,1,"50345826"
"#디자인","시각디자인",16,3,"50385518,50111225,50294160"
"#디자인","그래픽디자인",15,3,"50294160,50385518,50381215"
"#디자인","UI/UX디자인",10,3,"50111225,50294160,50439533"
"#디자인","기타",9,3,"50461501,50299131,50345394"
"#디자인","웹디자인",9,3,"50111225,50294160,50418029"
"#디자인","광고디자인",8,3,"50381215,50013358,50472427"
"#디자인","브랜드디자인",8,3,"50294160,50418029,50381215"
"#디자인","디지털디자인",7,3,"50381215,50013358,50497524"
"#디자인","산업디자인",7,3,"50481867,50497524,50066964"
"#디자인","앱디자인",5,3,"50111225,50294160,50418029"
"#디자인","의상디자인",5,3,"50019791,50483412,50296008"
"#디자인","편집디자인",5,3,"50090702,50381215,50472427"
"#디자인","배너디자인",4,3,"50013358,50347782,50092576"
"#디자인","일러스트레이터",4,3,"50472427,50087358,50469704"
"#디자인","콘텐츠디자인",4,3,"50294160,50381215,50290841"
"#디자인","북디자인",3,3,"50090702,50385518,50013358"
"#디자인","로고디자인",3,3,"50013358,50202615,50426113"
"#디자인","문구디자인",3,3,"50385518,50481867,50013358"
"#디자인","섬유디자인",3,3,"50019791,50125989,50126093"
"#디자인","패키지디자인",3,3,"50484939,50498247,50306086"
"#디자인","영상디자인",3,3,"50381215,50472427,50410829"
"#디자인","완구디자인",3,3,"50385518,50481867,50459628"
"#디자인","공예디자인",3,3,"50385518,50481867,50490307"
"#디자인","AD(아트디렉터)",3,3,"50426113,50483975,50485225"
"#디자인","모바일디자인",2,2,"50294160,50013358"
"#디자인","공간디자인",2,2,"50050737,50416138"
"#디자인","컬러리스트",2,2,"50087358,50306086"
"#디자인","캐릭터디자인",2,2,"50497524,50202615"
"#디자인","패턴디자인",2,2,"50274142,50483412"
"#디자인","BX디자인",2,2,"50418029,50381215"
"#디자인","정보디자인",2,2,"50385518,50497524"
"#디자인","CI디자인",2,2,"50385518,50418029"
"#디자인","VMD",2,2,"50416138,50511734"
"#디자인","컨셉디자인",2,2,"50438146,50436221"
"#디자인","주얼리디자인",2,2,"50483412,50461589"
